City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,gadzhiyevo,69.2551,33.3362,9.29,97,100,6.03,RU,1690225617
127,thinadhoo,0.5333,72.9333,28.34,79,100,6.26,MV,1690225648
128,gubkinskiy,64.434,76.5026,21.22,48,100,3.27,RU,1690225648
129,port lincoln,-34.7333,135.8667,13.17,71,88,4.21,AU,1690225649
130,nova soure,-11.2333,-38.4833,28.5,39,3,7.5,BR,1690225649
131,lhuentse,27.6679,91.1839,21.17,95,100,0.5,BT,1690225649
132,rio grande,-32.035,-52.0986,14.06,93,100,7.81,BR,1690225649
133,yeppoon,-23.1333,150.7333,14.88,88,100,9.81,AU,1690225649
134,longyearbyen,78.2186,15.6401,12.91,67,75,7.2,SJ,1690225401
135,sunne,59.8376,13.143,15.23,96,100,4.13,SE,1690225650
136,georgetown,5.4112,100.3354,27.23,86,20,1.03,MY,1690225531
137,callao,-12.0667,-77.15,24.16,53,20,5.66,PE,1690225650
138,castillos,-34.1667,-53.8333,7.73,94,100,1.99,UY,1690225650
139,lichinga,-13.3128,35.2406,15.07,63,0,1.12,MZ,1690225651
140,marquelia,16.5833,-98.8167,32.0,54,87,3.99,MX,1690225651
141,mount pearl,47.5166,-52.7813,24.69,83,75,8.23,CA,1690225536
142,savalou,7.9281,1.9756,23.23,94,100,1.57,BJ,1690225651
143,keningau,5.3378,116.1602,22.02,97,100,0.42,MY,1690225651
144,lerwick,60.1545,-1.1494,12.0,84,69,6.99,GB,1690225652
145,chui,-33.6971,-53.4616,9.57,93,100,5.14,UY,1690225652
146,dongola,19.1667,30.4833,35.65,9,100,4.13,SD,1690225652
147,kerikeri,-35.2268,173.9474,7.73,94,19,2.25,NZ,1690225653
148,katsuren-haebaru,26.3369,127.8719,29.43,83,40,5.14,JP,1690225653
149,hermanus,-34.4187,19.2345,11.07,66,0,2.68,ZA,1690225653
150,cecina,43.3128,10.524,30.78,71,100,7.74,IT,1690225653
151,beledweyne,4.7358,45.2036,26.99,57,100,10.88,SO,1690225654
152,asadabad,34.7824,48.1185,25.04,14,2,1.28,IR,1690225639
153,patong,7.8961,98.2966,30.57,71,65,6.4,TH,1690225654
154,daru,-9.0763,143.2092,24.04,73,100,2.74,PG,1690225654
155,pokhara,28.2333,83.9833,22.85,86,91,0.7,NP,1690225654
156,pimentel,-6.8367,-79.9342,26.16,61,40,5.14,PE,1690225655
